coin_id,symbol,name,price_usd,market_cap,market_cap_rank,volume_24h,high_24h,low_24h,price_change_24h,pct_change_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,pct_change_7d,daily_return,volatility_score,market_dominance_pct,transform_timestamp
bitcoin,btc,Bitcoin,90393.0,1804222131810,1,44358536844.0,91535.0,89736.0,-1141.942858688024,-1.24755,-21339853467.75,-1.16895,19959750.0,19959790.0,21000000.0,126080.0,-28.2381,2025-10-06T18:57:42.558Z,67.81,133329.66064,2013-07-06T00:00:00.000Z,0,2025-12-09T13:59:01.216Z,-0.2739014424330828,-1.2475496829274082,3.5306609442380523,-0.012475499999999999,2.3891054721190264,56.56304427733422,2025-12-09 14:16:56
ethereum,eth,Ethereum,3116.34,375972075212,2,22532704073.0,3163.18,3093.48,-28.610664393101615,-0.90973,-3969604838.982422,-1.04479,120695272.1387262,120695272.1387262,0.0,4946.05,-36.88085,2025-08-24T19:21:03.333Z,0.432979,720929.1343,2015-10-20T00:00:00.000Z,"{'times': 45.10461716996337, 'currency': 'btc', 'percentage': 4510.461716996337}",2025-12-09T13:59:02.318Z,-0.6998900541856038,-0.9097322247524172,10.301269338699814,-0.009097300000000001,5.605499669349907,11.78686635216217,2025-12-09 14:16:56
tether,usdt,Tether,1.0,185730968620,3,72011951914.0,1.0,0.999896,8.023e-05,0.00802,90536466.0,0.04877,185720807124.9028,191187743536.0062,0.0,1.32,-24.41648,2018-07-24T00:00:00.000Z,0.572521,74.67341,2015-03-02T00:00:00.000Z,0,2025-12-09T13:58:59.094Z,0.003807000966023,0.0080228000715655,0.0037561252442612,8.02e-05,0.0058880626221306,5.822735912892322,2025-12-09 14:16:56
ripple,xrp,XRP,2.07,124715276157,4,2599771340.0,2.1,2.05,-0.0301530443134661,-1.43729,-1903106360.2395325,-1.50303,60331635327.0,99985752852.0,100000000000.0,3.65,-43.12575,2025-07-18T03:40:53.808Z,0.00268621,77103.66562,2014-05-22T00:00:00.000Z,0,2025-12-09T13:58:57.818Z,-0.7591975656110884,-1.437289042217205,1.654973089537909,-0.0143729,1.5461315447689543,3.9098709426934533,2025-12-09 14:16:56
binancecoin,bnb,BNB,883.7,121701811598,5,1447330797.0,911.32,882.45,-26.50481008867837,-2.91198,-3657599037.373276,-2.91769,137735785.07,137735777.04,200000000.0,1369.99,-35.34463,2025-10-13T08:41:24.131Z,0.0398177,2224471.46592,2017-10-19T00:00:00.000Z,0,2025-12-09T13:59:05.099Z,-0.5584094251257613,-2.9119756402488917,4.785769666686704,-0.029119799999999998,3.848874833343352,3.8153976922695163,2025-12-09 14:16:56
usd-coin,usdc,USDC,0.999806,78214367324,6,4681774837.0,0.999937,0.999689,-2.122579643382e-06,-0.00021,-5001412.40788269,-0.00639,78225636632.71701,78280095937.41492,0.0,1.17,-14.73866,2019-05-08T00:40:28.300Z,0.877647,13.92568,2023-03-11T08:02:13.981Z,0,2025-12-09T13:58:59.504Z,0.0004900362574066,-0.0002122986530105,0.0003540452264357,-2.1000000000000002e-06,0.00028202261321785,2.452049913406663,2025-12-09 14:16:56
solana,sol,Solana,132.33,74298178181,7,4450453098.0,138.88,132.2,-6.542203055883306,-4.71079,-3502016672.655136,-4.5013,561461168.6082951,615761518.6024543,0.0,293.31,-54.74548,2025-01-19T11:15:27.957Z,0.500801,26404.91123,2020-05-11T19:35:23.449Z,0,2025-12-09T13:58:58.119Z,-0.6668797918426778,-4.710787418139858,3.1265544221511545,-0.0471079,3.9186722110755774,2.3292759068203988,2025-12-09 14:16:56
staked-ether,steth,Lido Staked Ether,3114.58,27175671939,8,26092758.0,3159.45,3094.37,-28.606086959930508,-0.9101,-184896526.42697144,-0.67578,8728804.469209157,8728804.469209157,0.0,4932.89,-36.7294,2025-08-24T19:21:31.902Z,482.9,546.32339,2020-12-22T04:08:21.854Z,0,2025-12-09T13:58:57.964Z,-0.735223662696266,-0.9100981396844088,10.21424941465362,-0.009101,5.56217470732681,0.8519675643319511,2025-12-09 14:16:56
tron,trx,TRON,0.280733,26579100736,9,555147800.0,0.285658,0.280286,-0.0049249004198166,-1.72406,-464581904.03030777,-1.71789,94681657546.30638,94681858324.58418,0.0,0.431288,-34.93347,2024-12-04T00:10:40.323Z,0.00180434,15452.72877,2017-11-12T00:00:00.000Z,"{'times': 146.7540035350534, 'currency': 'usd', 'percentage': 14675.400353505342}",2025-12-09T13:58:59.043Z,0.0266548201435215,-1.7240577603531215,1.0465144042268866,-0.0172406,1.3852872021134433,0.8332648321267877,2025-12-09 14:16:56
dogecoin,doge,Dogecoin,0.141641,22880547995,10,1102348416.0,0.144268,0.139619,-0.0020800351818849,-1.44727,-378014642.61060715,-1.62527,161604132798.579,161630392798.579,0.0,0.731578,-80.59126,2021-05-08T05:08:23.458Z,8.69e-05,163287.72073,2015-05-06T00:00:00.000Z,0,2025-12-09T13:59:03.012Z,0.0688396475958174,-1.447272190905348,3.3612923149355503,-0.0144727,2.404281157467775,0.7173138088227073,2025-12-09 14:16:56
cardano,ada,Cardano,0.449628,16471594664,11,888639423.0,0.453282,0.424677,0.01463414,3.36422,536583321.0,3.36732,36635198912.50997,45000000000.0,45000000000.0,3.09,-85.35582,2021-09-02T06:00:10.474Z,0.01925275,2247.99167,2020-03-13T02:22:55.044Z,0,2025-12-09T13:59:02.247Z,0.8009704188308712,3.364217141705353,14.229978959368069,0.0336422,8.797099479684034,0.5163907048205127,2025-12-09 14:16:56
figure-heloc,figr_heloc,Figure Heloc,1.031,14494528987,12,11497936.0,1.038,1.02,0.0108458,1.06357,151289112.0,1.05478,14064216014.81,14064216014.81,0.0,1.37,-24.75219,2025-10-28T06:05:38.345Z,0.155357,563.37465,2025-10-31T14:27:24.456Z,0,2025-12-09T13:59:03.250Z,0.0,1.063573884003981,-0.0534356245708026,0.0106357,0.5585028122854012,0.45440895021518507,2025-12-09 14:16:56
whitebit,wbt,WhiteBIT Coin,60.76,13024402389,13,86429631.0,61.49,60.51,-0.3857327780307287,-0.63088,-83053685.9994278,-0.63364,214372548.0,320872548.0,400000000.0,63.15,-3.60619,2025-12-04T03:12:02.334Z,3.06,1888.30907,2023-02-13T19:01:21.899Z,0,2025-12-09T13:58:59.592Z,-0.4844614768336763,-0.6308842198931476,4.936077800971133,-0.0063088,2.7834789004855667,0.40831992692372393,2025-12-09 14:16:56
wrapped-steth,wsteth,Wrapped stETH,3807.93,12812257714,14,36018912.0,3861.18,3772.16,-32.08544798388266,-0.83555,-44443760.65371704,-0.34569,3366066.480374854,3366066.480374854,0.0,7256.02,-47.46804,2022-05-13T15:09:54.509Z,558.54,582.44518,2022-05-13T01:36:45.053Z,0,2025-12-09T13:58:59.732Z,-0.6055886052329194,-0.8355548905216109,10.402347283730649,-0.0083555,5.618948641865324,0.4016691113541423,2025-12-09 14:16:56
bitcoin-cash,bch,Bitcoin Cash,581.63,11612004592,15,379071277.0,594.61,570.95,-12.377188449505413,-2.08368,-241646562.5787373,-2.03858,19964349.89665078,19964465.52165078,21000000.0,3785.82,-84.61444,2017-12-20T00:00:00.000Z,76.93,657.09536,2018-12-16T00:00:00.000Z,0,2025-12-09T13:59:02.047Z,0.2354671198333073,-2.08367765887595,9.519184641535734,-0.020836800000000003,5.8014323207678675,0.36404072331547704,2025-12-09 14:16:56
wrapped-bitcoin,wbtc,Wrapped Bitcoin,90218.0,11272595780,16,182556271.0,91423.0,89377.0,-1156.2624152587669,-1.26542,-145107622.7919407,-1.2709,124963.48883569,124963.48883569,124963.48883569,125932.0,-28.32957,2025-10-06T18:55:19.650Z,3139.17,2775.15106,2019-04-02T00:00:00.000Z,0,2025-12-09T13:58:59.997Z,-0.3364488750123341,-1.2654188715975214,3.3684338164556396,-0.012654199999999999,2.3169269082278197,0.35340012905449547,2025-12-09 14:16:56
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3383.14,11043356050,17,8503113.0,3435.02,3349.16,-29.1451702503864,-0.85412,-98175735.51643752,-0.88117,3264465.819136715,3264465.819136715,0.0,5330.78,-36.60551,2025-08-24T19:27:46.809Z,1501.6,125.05453,2025-04-09T03:57:40.245Z,0,2025-12-09T13:58:59.572Z,-0.6043400738758068,-0.8541247644312432,10.377300651238038,-0.0085412,5.615710325619019,0.34621337706342764,2025-12-09 14:16:56
usds,usds,USDS,0.999878,9554931331,18,7384836.0,1.0,0.998658,0.00032618,0.03263,71133143.0,0.75005,9556090422.39645,9556090422.39645,0.0,1.057,-5.4324,2024-10-29T05:40:51.197Z,0.948265,5.44352,2024-10-03T13:19:28.826Z,0,2025-12-09T13:58:58.997Z,-0.0128070784022892,0.0326324228498105,0.0103004316563555,0.0003263,0.02146521582817775,0.29955070077765544,2025-12-09 14:16:56
chainlink,link,Chainlink,13.69,9541770598,19,530565984.0,14.01,13.6,-0.2642225554245261,-1.89304,-177395991.6180439,-1.82522,696849970.4525868,1000000000.0,1000000000.0,52.7,-73.87291,2021-05-10T00:13:57.214Z,0.148183,9191.26219,2017-11-29T00:00:00.000Z,0,2025-12-09T13:59:02.297Z,-0.8648517215904032,-1.8930441719568456,12.00240301854802,-0.0189304,6.947721509274009,0.29913810683466113,2025-12-09 14:16:56
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8982223483,20,1006564652.0,1.001,0.998191,-0.0004457229648233,-0.04455,-3042658.9190368652,-0.03386,8984992892.453934,8984992892.453934,0.0,1.05,-4.90867,2024-08-05T14:21:42.527Z,0.942186,5.96868,2024-12-05T22:30:39.827Z,0,2025-12-09T13:59:01.870Z,-0.0371883935542701,-0.0445517944752184,0.017903410332214,-0.0004455,0.031226705166107,0.28159609375157774,2025-12-09 14:16:56
leo-token,leo,LEO Token,9.56,8815975037,21,888314.0,9.75,9.4,-0.1698085964012055,-1.74481,-157514132.18514442,-1.75533,921949668.9,985239504.0,0.0,10.14,-5.69176,2025-03-10T09:26:43.294Z,0.799859,1094.99074,2019-12-24T15:14:35.376Z,0,2025-12-09T13:59:04.848Z,0.0617841804528998,-1.7448124952196995,-2.03787857959106,-0.0174481,1.89134428979553,0.27638414227046915,2025-12-09 14:16:56
weth,weth,WETH,3118.52,8406634192,22,104625008.0,3170.08,3085.9,-26.342940355995324,-0.83765,-250587456.88631916,-2.89455,2696094.983571818,2696094.983571818,0.0,4950.08,-36.94666,2025-08-24T19:28:11.411Z,82.1,3701.53387,2018-12-15T00:00:00.000Z,0,2025-12-09T13:59:00.155Z,-0.6113376537934448,-0.8376501514680884,10.327630552837086,-0.0083765,5.582640276418543,0.2635511524007414,2025-12-09 14:16:56
wrapped-eeth,weeth,Wrapped eETH,3377.37,7986802190,23,35800146.0,3421.77,3342.64,-29.7226170589488,-0.87238,-36650026.41546154,-0.45679,2364904.210654389,2364904.210654389,0.0,5296.78,-36.31166,2025-08-24T19:25:19.771Z,1505.24,124.11326,2025-04-09T03:45:31.391Z,0,2025-12-09T13:58:59.613Z,-0.6136611389743525,-0.8723760387677124,10.426986696387813,-0.0087238,5.649683348193906,0.25038926080242424,2025-12-09 14:16:56
stellar,xlm,Stellar,0.242313,7837471844,24,115603520.0,0.246182,0.237743,-0.0029724385499331,-1.21183,-101089438.95857906,-1.2734,32348324838.21984,50001786883.67145,0.0,0.875563,-72.30145,2018-01-03T00:00:00.000Z,0.00047612,50836.00343,2015-03-05T00:00:00.000Z,0,2025-12-09T13:58:58.252Z,0.0437945813631808,-1.2118260242172336,2.4063717874926014,-0.0121183,1.8091008937463007,0.24570769813681498,2025-12-09 14:16:56
hyperliquid,hype,Hyperliquid,27.93,7562325966,25,402915442.0,30.32,27.55,-2.374905298065972,-7.83705,-642765958.5353012,-7.83374,270772999.4341414,999835210.4341414,1000000000.0,59.3,-52.98686,2025-09-18T03:30:30.650Z,3.81,632.01398,2024-11-29T09:30:30.871Z,0,2025-12-09T13:59:04.216Z,-0.8944207234695588,-7.8370469316274445,-12.337725386707788,-0.0783705,10.087387693353893,0.23708177109288325,2025-12-09 14:16:56
zcash,zec,Zcash,428.58,7040676988,26,1360709230.0,435.7,383.99,44.58,11.61045,734297535.0,11.64373,16431304.8530448,16432147.0405448,21000000.0,3191.93,-86.49302,2016-10-29T00:00:00.000Z,16.08,2581.15596,2024-07-05T04:22:29.321Z,0,2025-12-09T13:59:00.571Z,-1.2336072877188051,11.610450823175476,31.39488662834486,0.1161045,21.502668314172432,0.22072787889766912,2025-12-09 14:16:56
monero,xmr,Monero,360.92,6659574318,27,130471915.0,377.88,360.87,-12.379786800779073,-3.31627,-223711876.81885433,-3.25007,18446744.07370955,18446744.07370955,0.0,542.33,-33.22161,2018-01-09T00:00:00.000Z,0.216177,167427.91049,2015-01-14T00:00:00.000Z,0,2025-12-09T13:59:05.737Z,-1.050190483888539,-3.316269301179912,-7.752194521602103,-0.033162699999999996,5.534232260801051,0.2087801664639485,2025-12-09 14:16:56
ethena-usde,usde,Ethena USDe,0.999821,6634286560,28,175573251.0,1.001,0.997179,0.00056279,0.05632,-54544721.50378609,-0.81546,6635484924.770918,6633392846.580917,0.0,1.032,-3.26659,2023-12-20T15:38:34.596Z,0.929486,7.41078,2024-10-04T07:57:15.809Z,0,2025-12-09T13:59:03.170Z,0.0684559837554148,0.0563211510617719,0.0449247722975396,0.0005632,0.0506223861487698,0.20798738571361283,2025-12-09 14:16:56
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,90343.0,6563766687,29,432373337.0,91763.0,89535.0,-1237.9196877189388,-1.35172,-66289454.10202122,-0.99983,72678.25567241,72678.25567227,0.0,125954.0,-28.25157,2025-10-06T18:58:50.734Z,57439.0,57.33256,2024-09-12T14:07:41.775Z,0,2025-12-09T13:59:02.334Z,-0.3246432924552872,-1.3517215043431885,3.487291338824608,-0.0135172,2.419505669412304,0.20577656109916845,2025-12-09 14:16:56
litecoin,ltc,Litecoin,84.47,6461981872,30,466009383.0,84.46,82.55,0.84747,1.01339,61397016.0,0.95924,76609608.23347135,76609608.23347135,84000000.0,410.26,-79.42517,2021-05-10T03:13:07.904Z,1.15,7247.41721,2015-01-14T00:00:00.000Z,0,2025-12-09T13:59:05.371Z,0.5420772801420466,1.0133888627512724,7.611793934054726,0.0101339,4.3125919670273625,0.20258556876175063,2025-12-09 14:16:56
sui,sui,Sui,1.6,5975896453,31,701053208.0,1.64,1.58,-0.0162725212201428,-1.0065,-66033098.940011024,-1.09291,3736866360.651109,10000000000.0,10000000000.0,5.35,-70.08266,2025-01-04T22:56:18.063Z,0.364846,338.41763,2023-10-19T10:40:30.078Z,0,2025-12-09T13:58:58.626Z,-0.4202415006027205,-1.0065019322847235,15.834953581740104,-0.010065,8.420726790870052,0.18734660755364205,2025-12-09 14:16:56
avalanche-2,avax,Avalanche,13.62,5843036123,32,316834870.0,13.78,13.52,-0.129101474794794,-0.93894,-57742564.04968262,-0.97856,429385282.5919801,461054386.260526,720000000.0,144.96,-90.57111,2021-11-21T14:18:56.538Z,2.8,387.96575,2020-12-31T13:15:21.540Z,0,2025-12-09T13:59:01.063Z,-0.2827584921059001,-0.9389363144987064,5.533317754770746,-0.0093894,3.2361288773853727,0.18318138610114154,2025-12-09 14:16:56
hedera-hashgraph,hbar,Hedera,0.135118,5738845864,33,115982528.0,0.136251,0.13257,-0.0001396171329174,-0.10322,-12130066.498566628,-0.21092,42476304284.955,50000000000.0,50000000000.0,0.569229,-76.24645,2021-09-15T10:40:28.318Z,0.00986111,1271.16459,2020-01-02T17:30:24.852Z,0,2025-12-09T13:59:04.118Z,0.1546811005416458,-0.1032234782953633,0.7697490179323292,-0.0010322,0.4364845089661646,0.17991498218713362,2025-12-09 14:16:56
shiba-inu,shib,Shiba Inu,8.61e-06,5072349232,34,113930273.0,8.66e-06,8.43e-06,1.08805e-07,1.28005,62179932.0,1.24107,589244313571696.2,589500595994015.1,0.0,8.616e-05,-89.97493,2021-10-28T03:54:55.568Z,5.6366e-11,15323714.56076,2020-11-28T11:26:25.838Z,0,2025-12-09T13:58:57.678Z,-0.0139863149737689,1.280052910464884,7.7154005466185405,0.0128005,4.49772527330927,0.15902006141111455,2025-12-09 14:16:56
usdt0,usdt0,USDT0,1.0,4528013517,35,243224739.0,1.001,0.998722,0.00042435,0.04244,561669687.0,14.16089,4526601459.44638,4526601459.44638,0.0,1.052,-4.94987,2025-01-23T22:34:53.341Z,0.975737,2.48287,2025-02-28T01:35:58.101Z,0,2025-12-09T13:58:59.703Z,0.0094658681961785,0.0424411473719755,0.0368939245876282,0.00042439999999999996,0.0396669622938141,0.14195493145486496,2025-12-09 14:16:56
dai,dai,Dai,0.999883,4334025064,36,79035798.0,1.001,0.998266,0.00038101,0.03812,4328841.0,0.09998,4334667655.498844,4333283326.452188,0.0,1.22,-18.00383,2020-03-13T03:02:50.373Z,0.88196,13.32447,2023-03-11T07:50:50.514Z,0,2025-12-09T13:59:02.586Z,0.0486246113479516,0.038120316833033,0.0103856086714326,0.0003812,0.0242528043357163,0.1358733202924285,2025-12-09 14:16:56
susds,susds,sUSDS,1.081,4251339577,37,23719202.0,1.086,1.065,0.00263976,0.24482,62438585.0,1.49057,3938706156.863119,3938281914.518285,0.0,1.11,-2.49697,2025-10-10T21:52:27.019Z,0.961716,12.03682,2025-01-04T01:21:08.460Z,0,2025-12-09T13:58:58.245Z,0.3018691777582668,0.2448225125529034,0.240550462042152,0.0024482,0.242685231021076,0.1332810990909393,2025-12-09 14:16:56
world-liberty-financial,wlfi,World Liberty Financial,0.148869,4055862245,38,106018979.0,0.154447,0.148197,-9.2069810940315e-05,-0.06181,-932382.6924448012,-0.02298,27243802538.151154,100000000000.0,100000000000.0,0.331336,-55.09124,2025-09-01T12:20:09.597Z,0.104606,42.24732,2025-10-10T21:22:29.880Z,0,2025-12-09T13:58:59.660Z,-0.4759553500356285,-0.061808032394026,-6.082326271282549,-0.0006181,3.072068135641275,0.1271528110103364,2025-12-09 14:16:56
the-open-network,ton,Toncoin,1.63,3976162630,39,84755012.0,1.66,1.61,-0.0326094843140898,-1.96682,-82648417.33968401,-2.03627,2447293585.90152,5147911100.060653,0.0,8.25,-80.30404,2024-06-15T00:36:51.509Z,0.519364,213.00361,2021-09-21T00:33:11.092Z,0,2025-12-09T13:58:58.819Z,0.5012680074607028,-1.966823301005165,8.160695647270245,-0.0196682,5.063757823635123,0.1246541980221402,2025-12-09 14:16:56
crypto-com-chain,cro,Cronos,0.103453,3863636606,40,14940573.0,0.105211,0.103035,-0.0014103178282677,-1.34492,-56985869.72134733,-1.45349,37353532281.87356,98220204704.60904,100000000000.0,0.965407,-89.27426,2021-11-24T15:53:54.855Z,0.0121196,754.37666,2019-02-08T00:00:00.000Z,0,2025-12-09T13:59:02.390Z,-0.2542950324603954,-1.3449157089268182,-4.458868799200904,-0.0134492,2.9018943996004523,0.12112646473162837,2025-12-09 14:16:56
paypal-usd,pyusd,PayPal USD,0.999846,3827706945,41,86951609.0,1.0,0.998905,0.00040465,0.04049,10719675.0,0.28084,3827883560.07748,3827883560.07748,0.0,1.021,-2.05373,2023-10-23T22:44:57.056Z,0.959426,4.20543,2024-12-05T22:31:13.430Z,0,2025-12-09T13:59:06.598Z,-0.0045025331780466,0.040487816309135,0.0068510919705459,0.0004049,0.023670545985272948,0.12000005630875096,2025-12-09 14:16:56
mantle,mnt,Mantle,1.11,3594157231,42,125916810.0,1.13,1.088,-0.0238593619222056,-2.11337,-74311066.96529102,-2.02567,3252944055.636841,6219316794.89,6219316794.89,2.86,-61.2978,2025-10-09T01:04:46.659Z,0.307978,258.78254,2023-10-18T02:50:46.942Z,0,2025-12-09T13:59:05.242Z,-0.2222393964324894,-2.1133653203409706,12.293113880475484,-0.021133700000000002,7.203241940237742,0.11267818469381397,2025-12-09 14:16:56
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3584635545,43,74011863.0,1.21,1.21,8.808e-05,0.00729,-56472626.13133049,-1.55097,2967645405.44297,2967645405.44297,0.0,1.29,-6.41797,2025-01-29T17:52:32.991Z,1.012,19.34249,2024-04-03T14:23:03.162Z,0,2025-12-09T13:59:03.058Z,0.0098409610041563,0.0072923580594427,0.1122796707699878,7.29e-05,0.0597848353849939,0.11237967624670132,2025-12-09 14:16:56
polkadot,dot,Polkadot,2.12,3484933623,44,160173364.0,2.16,2.09,-0.0185781452968925,-0.86836,-30676176.81102419,-0.87257,1643633540.497753,1643633540.497753,0.0,54.98,-96.13015,2021-11-04T14:10:09.301Z,1.98,7.58477,2025-12-01T15:50:20.422Z,0,2025-12-09T13:58:56.812Z,-0.2637400196201195,-0.8683572390830859,1.6988772588928895,-0.0086836,1.283618629446445,0.1092539833903767,2025-12-09 14:16:56
uniswap,uni,Uniswap,5.49,3459496951,45,234414227.0,5.72,5.43,-0.1694418711286864,-2.99278,-110971745.48307373,-3.10804,629905374.0113912,1000000000.0,1000000000.0,44.92,-87.71379,2021-05-03T05:25:04.822Z,1.03,435.70989,2020-09-17T01:20:38.214Z,0,2025-12-09T13:58:59.305Z,-0.8879009007996168,-2.9927799102197277,-0.8002344553221925,-0.0299278,1.8965072276610964,0.10845653412997955,2025-12-09 14:16:56
bittensor,tao,Bittensor,306.48,2938756206,46,141013959.0,307.15,287.67,8.76,2.94145,86150725.0,3.02007,9597491.0,21000000.0,21000000.0,757.6,-59.69266,2024-03-07T18:45:36.466Z,30.83,890.49864,2023-05-14T08:57:53.732Z,0,2025-12-09T13:59:01.418Z,0.7891067695040506,2.9414465142828883,16.289105721548054,0.0294145,9.615277860774027,0.09213111538184682,2025-12-09 14:16:56
aave,aave,Aave,187.82,2849753497,47,358930816.0,199.03,187.79,-8.432454443358523,-4.29663,-124648849.72539234,-4.19072,15162281.4210017,16000000.0,16000000.0,661.69,-71.41397,2021-05-18T21:19:59.514Z,26.02,626.85644,2020-11-05T09:20:11.928Z,0,2025-12-09T13:59:00.522Z,-1.202525897719385,-4.296632311138684,10.277968589753153,-0.042966300000000006,7.2872992948765765,0.08934084688817785,2025-12-09 14:16:56
usd1-wlfi,usd1,USD1,0.999218,2727972129,48,276839991.0,0.999552,0.99854,0.00037062,0.0371,-1457166.7387280464,-0.05339,2729973392.721158,2729973392.721158,0.0,1.025,-2.49959,2025-05-12T12:36:39.412Z,0.989633,0.96771,2025-10-01T08:51:32.103Z,0,2025-12-09T13:58:59.298Z,0.0183060569552891,0.0371047812065092,-0.0024311118353058,0.000371,0.019765555917652902,0.08552295507270169,2025-12-09 14:16:56
canton-network,cc,Canton,0.074386,2669772601,49,24895319.0,0.076988,0.071698,-8.8746454711366e-05,-0.11916,-19848853.354058743,-0.73798,35905763354.82008,35906575280.22086,0.0,0.159483,-53.49935,2025-11-10T09:46:17.203Z,0.059024,25.64467,2025-12-06T10:32:09.784Z,0,2025-12-09T13:59:01.982Z,1.1344408171464204,-0.1191628017314168,-0.0966111489103692,-0.0011916000000000001,0.1078855744551846,0.08369837792050733,2025-12-09 14:16:56
